Name,Chromosome,Region,Identifier,GD1_S1_R1_001 RNA-Seq un-mapped reads [GD1_S1_R1_001] (single) sampled (GE) - Total counts,GD1_S1_R1_001 RNA-Seq un-mapped reads [GD1_S1_R1_001] (single) sampled (GE) - RPKM,GD1_S1_R1_001 RNA-Seq un-mapped reads [GD1_S1_R1_001] (single) sampled (GE) - TPM,GD1_S1_R1_001 RNA-Seq un-mapped reads [GD1_S1_R1_001] (single) sampled (GE) - CPM,GD2_S2_R1_001 RNA-Seq un-mapped reads [GD2_S2_R1_001] (single) sampled (GE) - Total counts,GD2_S2_R1_001 RNA-Seq un-mapped reads [GD2_S2_R1_001] (single) sampled (GE) - RPKM,GD2_S2_R1_001 RNA-Seq un-mapped reads [GD2_S2_R1_001] (single) sampled (GE) - TPM,GD2_S2_R1_001 RNA-Seq un-mapped reads [GD2_S2_R1_001] (single) sampled (GE) - CPM,GD3_S3_R1_001 RNA-Seq un-mapped reads [GD3_S3_R1_001] (single) sampled (GE) - Total counts,GD3_S3_R1_001 RNA-Seq un-mapped reads [GD3_S3_R1_001] (single) sampled (GE) - RPKM,GD3_S3_R1_001 RNA-Seq un-mapped reads [GD3_S3_R1_001] (single) sampled (GE) - TPM,GD3_S3_R1_001 RNA-Seq un-mapped reads [GD3_S3_R1_001] (single) sampled (GE) - CPM,GD4_S4_R1_001 RNA-Seq un-mapped reads [GD4_S4_R1_001] (single) sampled (GE) - Total counts,GD4_S4_R1_001 RNA-Seq un-mapped reads [GD4_S4_R1_001] (single) sampled (GE) - RPKM,GD4_S4_R1_001 RNA-Seq un-mapped reads [GD4_S4_R1_001] (single) sampled (GE) - TPM,GD4_S4_R1_001 RNA-Seq un-mapped reads [GD4_S4_R1_001] (single) sampled (GE) - CPM,GD5_S5_R1_001 RNA-Seq un-mapped reads [GD5_S5_R1_001] (single) sampled (GE) - Total counts,GD5_S5_R1_001 RNA-Seq un-mapped reads [GD5_S5_R1_001] (single) sampled (GE) - RPKM,GD5_S5_R1_001 RNA-Seq un-mapped reads [GD5_S5_R1_001] (single) sampled (GE) - TPM,GD5_S5_R1_001 RNA-Seq un-mapped reads [GD5_S5_R1_001] (single) sampled (GE) - CPM,GD6_S6_R1_001 RNA-Seq un-mapped reads [GD6_S6_R1_001] (single) sampled (GE) - Total counts,GD6_S6_R1_001 RNA-Seq un-mapped reads [GD6_S6_R1_001] (single) sampled (GE) - RPKM,GD6_S6_R1_001 RNA-Seq un-mapped reads [GD6_S6_R1_001] (single) sampled (GE) - TPM,GD6_S6_R1_001 RNA-Seq un-mapped reads [GD6_S6_R1_001] (single) sampled (GE) - CPM,GD7_S7_R1_001 RNA-Seq un-mapped reads [GD7_S7_R1_001] (single) sampled (GE) - Total counts,GD7_S7_R1_001 RNA-Seq un-mapped reads [GD7_S7_R1_001] (single) sampled (GE) - RPKM,GD7_S7_R1_001 RNA-Seq un-mapped reads [GD7_S7_R1_001] (single) sampled (GE) - TPM,GD7_S7_R1_001 RNA-Seq un-mapped reads [GD7_S7_R1_001] (single) sampled (GE) - CPM,GD8_S8_R1_001 RNA-Seq un-mapped reads [GD8_S8_R1_001] (single) sampled (GE) - Total counts,GD8_S8_R1_001 RNA-Seq un-mapped reads [GD8_S8_R1_001] (single) sampled (GE) - RPKM,GD8_S8_R1_001 RNA-Seq un-mapped reads [GD8_S8_R1_001] (single) sampled (GE) - TPM,GD8_S8_R1_001 RNA-Seq un-mapped reads [GD8_S8_R1_001] (single) sampled (GE) - CPM,GD9_S9_R1_001 RNA-Seq un-mapped reads [GD9_S9_R1_001] (single) sampled (GE) - Total counts,GD9_S9_R1_001 RNA-Seq un-mapped reads [GD9_S9_R1_001] (single) sampled (GE) - RPKM,GD9_S9_R1_001 RNA-Seq un-mapped reads [GD9_S9_R1_001] (single) sampled (GE) - TPM,GD9_S9_R1_001 RNA-Seq un-mapped reads [GD9_S9_R1_001] (single) sampled (GE) - CPM,GD10_S10_R1_001 RNA-Seq un-mapped reads [GD10_S10_R1_001] (single) sampled (GE) - Total counts,GD10_S10_R1_001 RNA-Seq un-mapped reads [GD10_S10_R1_001] (single) sampled (GE) - RPKM,GD10_S10_R1_001 RNA-Seq un-mapped reads [GD10_S10_R1_001] (single) sampled (GE) - TPM,GD10_S10_R1_001 RNA-Seq un-mapped reads [GD10_S10_R1_001] (single) sampled (GE) - CPM,GD11_S11_R1_001 RNA-Seq un-mapped reads [GD11_S11_R1_001] (single) sampled (GE) - Total counts,GD11_S11_R1_001 RNA-Seq un-mapped reads [GD11_S11_R1_001] (single) sampled (GE) - RPKM,GD11_S11_R1_001 RNA-Seq un-mapped reads [GD11_S11_R1_001] (single) sampled (GE) - TPM,GD11_S11_R1_001 RNA-Seq un-mapped reads [GD11_S11_R1_001] (single) sampled (GE) - CPM,GD12_S12_R1_001 RNA-Seq un-mapped reads [GD12_S12_R1_001] (single) sampled (GE) - Total counts,GD12_S12_R1_001 RNA-Seq un-mapped reads [GD12_S12_R1_001] (single) sampled (GE) - RPKM,GD12_S12_R1_001 RNA-Seq un-mapped reads [GD12_S12_R1_001] (single) sampled (GE) - TPM,GD12_S12_R1_001 RNA-Seq un-mapped reads [GD12_S12_R1_001] (single) sampled (GE) - CPM,GD13_S13_R1_001 RNA-Seq un-mapped reads [GD13_S13_R1_001] (single) sampled (GE) - Total counts,GD13_S13_R1_001 RNA-Seq un-mapped reads [GD13_S13_R1_001] (single) sampled (GE) - RPKM,GD13_S13_R1_001 RNA-Seq un-mapped reads [GD13_S13_R1_001] (single) sampled (GE) - TPM,GD13_S13_R1_001 RNA-Seq un-mapped reads [GD13_S13_R1_001] (single) sampled (GE) - CPM
PA14_01490,PA14 ref,139831..140241,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4384239,634,4733.100783,5457.240295,2837.498604,593,4250.383361,4852.154227,2554.964908,704,4175.135772,4634.665574,2442.940095,726,4420.611624,4858.623124,2649.61963,738,4464.063499,4961.128698,2689.637232,832,4412.210279,4777.09761,2793.912246,538,2782.240524,3021.781486,1555.136332,504,2570.785154,2823.178307,1570.3362,408,2086.04916,2282.548021,1279.226314,429,2245.963082,2454.630979,1354.995459,708,3579.330018,3990.452646,2414.503365,488,2516.500677,2969.610463,2161.900559,462,2386.086192,2722.48457,1788.075398
PA14_01500,PA14 ref,complement(140273..141181),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4384240,31,104.6396135,120.6489237,138.7420453,44,142.5949104,162.7835511,189.5758111,62,166.2522655,184.5505615,215.1452924,43,118.3837615,130.1136878,156.9333941,60,164.0979633,182.3699674,218.6696937,63,151.0606551,163.5532871,211.558259,72,168.3537643,182.8484215,208.1223343,34,78.4137281,86.11218866,105.9353786,29,67.04097353,73.35600926,90.92539974,59,139.6610399,152.6366652,186.3513569,30,68.57529402,76.45186728,102.3094646,25,58.29015053,68.78561269,110.7531024,17,39.69821798,45.29500496,65.79498218
PA14_01510,PA14 ref,complement(141481..141762),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4384241,4,43.52203552,50.18067792,17.90219939,9,94.01748562,107.3285164,38.77687045,3,25.93056097,28.78456768,10.41025609,1,8.874388848,9.753698025,3.649613816,5,44.0795061,48.98767742,18.22247447,7,54.10328428,58.57759575,23.50647322,4,30.14845779,32.74413221,11.56235191,7,52.03864747,57.14766963,21.810225,5,37.25864816,40.76828834,15.67679306,9,68.6721341,75.05232348,28.42647817,6,44.20917891,49.28705486,20.46189292,7,52.6099614,62.08267426,31.01086867,12,90.32710924,103.0617259,46.44351683
PA14_01520,PA14 ref,complement(141759..141986),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4384242,7,94.20230057,108.6147568,31.32884894,2,25.8410633,29.49965071,8.617082322,2,21.38133974,23.73464353,6.940170724,7,76.8335245,84.4464908,25.54729671,2,21.80775565,24.23600883,7.288989789,1,9.559602862,10.35017669,3.358067603,3,27.9666615,30.37449107,8.671763931,4,36.77919445,40.3900823,12.46298572,3,27.6498389,30.25436135,9.406075835,0,0,0,0,4,36.45318261,40.64020313,13.64126195,4,37.18298023,43.87798031,17.72049638,6,55.86018598,63.73554104,23.22175842
PA14_01540,PA14 ref,complement(142162..142785),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4384243,5,24.58576526,28.34725796,22.37774924,1,4.720963488,5.389359265,4.308541161,6,23.4372378,26.01682079,20.82051217,17,68.17919893,74.93466079,62.04343487,3,11.95232762,13.28319715,10.93348468,7,24.4505227,26.47256731,23.50647322,13,44.28054738,48.09294419,37.5776437,7,23.51746568,25.8263507,21.810225,9,30.30847726,33.16343456,28.21822751,13,44.82764309,48.99248894,41.06046847,5,16.64929014,18.56163124,17.05157743,3,10.1895667,12.02425422,13.29037229,4,13.60696838,15.5253241,15.48117228
PA14_01550,PA14 ref,142886..143386,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4384244,4,24.49743317,28.24541153,17.90219939,3,17.64000728,20.13748611,12.92562348,1,4.865215032,5.400697329,3.470085362,3,14.98549494,16.47031643,10.94884145,2,9.924487601,11.0295609,7.288989789,2,8.700955898,9.420520103,6.716135207,1,4.242447653,4.607707228,2.890587977,7,29.29121474,32.16695177,21.810225,4,16.77754696,18.35793583,12.54143445,2,8.589728018,9.387782312,6.316995149,5,20.73684041,23.11867843,17.05157743,4,16.9215958,19.96842218,17.72049638,0,0,0,0
PA14_01560,PA14 ref,143458..143799,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4384245,14,125.6030674,144.8196758,62.65769788,6,51.6821266,58.99930142,25.85124696,12,85.52535897,94.9385741,41.64102434,16,117.0796564,128.6803669,58.39382105,8,58.15401506,64.62935688,29.15595916,30,191.1920572,207.0035338,100.7420281,22,136.7259007,148.4975119,63.59293549,25,153.2466435,168.2920096,77.89366073,21,129.0325815,141.1870196,65.84253085,27,169.8731738,185.6557476,85.27943451,34,206.5680348,230.2944844,115.9507266,32,198.3092279,234.015895,141.7639711,42,260.6808679,297.4325248,162.5523089
gabP,PA14 ref,complement(143881..145308),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4384246,29,62.31148573,71.84481514,129.7909456,25,51.5735507,58.87535331,107.713529,22,37.55210089,41.68521426,76.34187796,12,21.03006433,23.1138054,43.79536579,20,34.81910566,38.69614855,72.88989789,12,18.31587775,19.83059064,40.29681124,17,25.30316993,27.48168239,49.13999561,14,20.55307925,22.57092834,43.62045001,32,47.08992171,51.52563501,100.3314756,18,27.12260758,29.64251432,56.85295634,20,29.10128024,32.44385964,68.20630974,14,20.77872425,24.52004782,62.02173734,12,17.83770645,20.35252571,46.44351683
PA14_01600,PA14 ref,complement(145477..146970),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4384247,73,149.9237991,172.8613514,326.7151389,68,134.0829469,153.0664607,292.9807989,92,150.0987224,166.6191039,319.2478533,73,122.2812375,134.3973411,266.4218085,75,124.8034209,138.7000505,273.3371171,100,145.8895216,157.9545037,335.8067603,114,162.1841735,176.147651,329.5270294,86,120.6771159,132.5248885,267.9541929,84,118.1503156,129.2796806,263.3701234,65,93.61596148,102.3136315,205.3023423,89,123.7797827,137.9971556,303.5180783,65,92.2108044,108.8138668,287.9580662,93,132.1351387,150.7639906,359.9372555
PA14_01610,PA14 ref,complement(147054..147341),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4384248,5,53.26915806,61.41905892,22.37774924,4,40.91501689,46.70778029,17.23416464,2,16.92689396,18.78992612,6.940170724,6,52.13703448,57.3029759,21.89768289,5,43.16118306,47.96710081,18.22247447,5,37.84009466,40.96944941,16.79033802,13,95.94118599,104.2013791,37.5776437,1,7.279215568,7.993870455,3.115746429,4,29.18594106,31.9351592,12.54143445,2,14.9425477,16.33082965,6.316995149,1,7.214692392,8.043373536,3.410315487,3,22.07739451,26.05255081,13.29037229,4,29.48176482,33.63820221,15.48117228
aptA,PA14 ref,complement(147341..148687),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4384249,24,54.66910475,63.03319009,107.4131964,19,41.55289021,47.43596395,81.86228206,17,30.76246208,34.14828445,58.99145115,31,57.59458597,63.30128295,113.1380283,30,55.36935733,61.53463266,109.3348468,49,79.28721839,85.84422718,164.5453126,31,48.9157049,53.1271722,89.60822729,18,28.0144421,30.76482883,56.08343573,19,29.64095573,32.43303474,59.57181362,19,30.35101002,33.17086111,60.01145391,17,26.22355898,29.2356027,57.97536328,12,18.88133517,22.28102341,53.16148915,16,25.21380332,28.76852929,61.92468911
PA14_01640,PA14 ref,148823..149740,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4384250,2,6.68475709,7.707489747,8.951099697,3,9.627062798,10.99006595,12.92562348,5,13.27599527,14.73719696,17.35042681,3,8.17835835,8.988702102,10.94884145,5,13.54076331,15.04850221,18.22247447,4,9.497121798,10.28252848,13.43227041,7,16.20725917,17.60264624,20.23411584,7,15.98572831,17.55516649,21.810225,6,13.7345605,15.02831021,18.81215167,16,37.50286481,40.98718029,50.53596119,11,24.89776198,27.75752436,37.51347036,1,2.308747139,2.724449758,4.430124096,10,23.1229528,26.3829037,38.7029307
PA14_01660,PA14 ref,complement(149853..151223),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4384251,11,24.61804416,28.38447537,49.23104833,14,30.08193802,34.34095006,60.31957625,14,24.89031235,27.62982572,48.58119507,9,16.4282997,18.05607993,32.84652434,14,25.38670898,28.21347198,51.02292852,15,23.84671173,25.81882151,50.37101405,17,26.35516168,28.62424687,49.13999561,9,13.76201806,15.11313801,28.04171786,14,21.45837242,23.47967941,43.89502057,19,29.81970131,32.59018958,60.01145391,25,37.88897536,42.24091135,85.25788717,18,27.82621278,32.83647542,79.74223372,23,35.61035926,40.63082631,89.0167406
PA14_01670,PA14 ref,152381..153952,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4384252,2,3.903694026,4.500938669,8.951099697,2,3.747940479,4.278575294,8.617082322,4,6.202220689,6.884858427,13.88034145,0,0,0,0,1,1.581478463,1.757573159,3.644494895,1,1.386507285,1.501170665,3.358067603,1,1.352077783,1.468486846,2.890587977,5,6.667983727,7.322629424,15.57873215,1,1.336760659,1.462679047,3.135358612,2,2.73756599,2.991907722,6.316995149,3,3.965327116,4.420785455,10.23094646,2,2.696475666,3.181990938,8.860248191,3,4.050929517,4.622043052,11.61087921
PA14_01680,PA14 ref,153952..155049,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4384253,1,2.794447636,3.221983419,4.475549848,0,0,0,0,1,2.21992052,2.464252606,3.470085362,0,0,0,0,1,2.26419321,2.516306928,3.644494895,0,0,0,0,1,1.935761634,2.10242379,2.890587977,0,0,0,0,1,1.913832201,2.0941088,3.135358612,1,1.959678387,2.14174815,3.158497574,1,1.892378332,2.109737321,3.410315487,1,1.930264001,2.27781865,4.430124096,2,3.86646096,4.411567504,7.740586139
PA14_01690,PA14 ref,155072..156052,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4384254,2,6.255460763,7.212513341,8.951099697,3,9.008811059,10.2842819,12.92562348,1,2.484681683,2.758154293,3.470085362,4,10.20419023,11.21526134,14.59845526,2,5.068469203,5.632833856,7.288989789,6,13.33082234,14.43327392,20.14840562,2,4.333264575,4.706343162,5.781175954,6,12.82210449,14.08094612,18.69447858,4,8.56834967,9.375459582,12.54143445,3,6.580204491,7.191558009,9.475492723,5,10.59037415,11.80678684,17.05157743,2,4.320957948,5.098970189,8.860248191,6,12.98279552,14.81315327,23.22175842
ahpC,PA14 ref,156164..156727,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4384255,775,4216.197191,4861.253174,3468.551132,1453,7589.300367,8663.796353,6260.310307,1894,8185.413745,9086.328531,6572.341676,1624,7206.003744,7920.002796,5926.972837,1550,6832.323445,7593.09,5648.967086,652,2519.667239,2728.042316,2189.460077,860,3240.959212,3519.994213,2485.90566,279,1037.055903,1138.871416,869.2932537,941,3506.038792,3836.295933,2950.372454,554,2113.575683,2309.943734,1749.807656,355,1307.854876,1458.075373,1210.661998,234,879.3379262,1037.667556,1036.649038,165,620.998876,708.5493658,638.5983565
ahpF,PA14 ref,156872..158437,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4384256,147,288.020827,332.0864979,657.9058277,306,575.6319618,657.1301503,1318.413595,390,607.0334387,673.8456265,1353.333291,312,498.597847,548.0008729,1138.67951,243,385.7716775,428.7266389,885.6122594,91,126.6555812,137.1299272,305.5841519,103,139.7975902,151.8336629,297.7305616,30,40.16118934,44.10411285,93.47239288,110,147.6070582,161.51115,344.8894473,58,79.69358772,87.09775811,183.1928593,16,21.22943968,23.66785776,54.56504779,22,29.77487689,35.13600722,97.4627301,15,20.3322516,23.19876015,58.05439604
PA14_01730,PA14 ref,complement(158517..159413),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4383540,48,164.1901541,189.3103836,214.8263927,69,226.6062474,258.6892447,297.2893401,101,274.4534513,304.660742,350.4786216,63,175.7663236,193.1819388,229.9256704,87,241.125218,267.9740642,317.0710558,62,150.6516678,163.1104768,208.2001914,70,165.8669333,180.1474833,202.3411584,58,135.5540879,148.8624438,180.7132929,62,145.2464224,158.9281501,194.3922339,38,91.15453846,99.62352266,120.0229078,55,127.4032636,142.0368303,187.5673518,71,167.7586633,197.9645332,314.5388108,102,241.3757869,275.4057492,394.7698931
PA14_01750,PA14 ref,159868..161217,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4383541,30,68.18452232,78.61639541,134.2664954,32,69.82829549,79.7146117,137.8733171,44,79.44355567,88.18738661,152.6837559,40,74.15044904,81.49756572,145.9845526,49,90.23564671,100.2832188,178.5802498,13,20.98863917,22.72438794,43.65487884,20,31.48838925,34.19942698,57.81175954,17,26.39928846,28.99110351,52.9676893,10,15.56583523,17.03208491,31.35358612,18,28.68969158,31.35519292,56.85295634,9,13.85220939,15.44327719,30.69283938,6,9.419688326,11.11575501,26.58074457,3,4.717082371,5.382112354,11.61087921
nuh,PA14 ref,161387..162376,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4383542,35,108.4753764,125.0715382,156.6442447,41,122.0011413,139.2741085,176.6501876,40,98.4837467,109.3232065,138.8034145,59,149.1435168,163.9212401,215.3272151,50,125.5598053,139.5406569,182.2247447,29,63.84655972,69.12663464,97.3839605,46,98.759039,107.2618392,132.9670469,49,103.7619092,113.9489898,152.671575,46,97.64023919,106.8376235,144.2264961,42,91.2853823,99.76652293,132.6568981,23,48.27285091,53.81748112,78.4372562,16,34.25341209,40.42092731,70.88198553,21,45.02669536,51.37470884,81.27615446
PA14_01770,PA14 ref,complement(162413..163261),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4383543,13,46.98226803,54.17030779,58.18214803,19,65.92667033,75.26059298,81.86228206,30,86.12977847,95.60951809,104.1025609,28,82.53495211,90.71283817,102.1891868,22,64.42149725,71.59471159,80.17888768,22,56.47934977,61.15016053,73.87748728,12,30.04192614,32.62842857,34.68705572,22,54.32403986,59.65743604,68.54642144,41,101.4804452,111.0395642,128.5497031,28,70.96390143,77.55701429,88.43793208,20,48.94773637,54.56988406,68.20630974,19,47.43129281,55.97155792,84.17235782,22,55.00484744,62.75961403,85.14644753
PA14_01780,PA14 ref,complement(163296..163922),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4383544,20,97.87252007,112.8465006,89.51099696,25,117.4593786,134.0893214,107.713529,28,108.8504569,120.8309125,97.16239014,28,111.7578538,122.8312593,102.1891868,35,138.7766269,154.2291471,127.5573213,18,62.57194601,67.74661108,60.44521686,14,47.45857709,51.5445909,40.46823168,21,70.21482577,77.10833893,65.43067501,28,93.84187748,102.6814688,87.79004113,22,75.49918836,82.51366558,69.48694664,17,56.33673676,62.80758666,57.97536328,8,27.04216744,31.9112584,35.44099277,9,30.46919235,34.76484057,34.83263763
PA14_01790,PA14 ref,complement(164072..164590),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4383545,5,29.55976401,34.08225235,22.37774924,0,0,0,0,2,9.3929585,10.42677981,6.940170724,4,19.28768906,21.19878877,14.59845526,5,23.9507143,26.61758195,18.22247447,1,4.199594321,4.546898431,3.358067603,6,24.57186444,26.68741412,17.34352786,5,20.19666747,22.17952496,15.57873215,1,4.048916679,4.430311103,3.135358612,7,29.02136431,31.7176807,22.10948302,5,20.01764363,22.31687455,17.05157743,4,16.33471964,19.27587574,17.72049638,2,8.179911627,9.333142811,7.740586139
PA14_01800,PA14 ref,164828..165925,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4383546,2,5.588895272,6.443966837,8.951099697,2,5.365903855,6.12561053,8.617082322,3,6.65976156,7.392757819,10.41025609,5,11.39607311,12.52524063,18.24806908,3,6.792579628,7.548920783,10.93348468,2,3.970108292,4.298434036,6.716135207,2,3.871523268,4.204847579,5.781175954,5,9.546512221,10.48376453,15.57873215,2,3.827664402,4.1882176,6.270717224,1,1.959678387,2.14174815,3.158497574,1,1.892378332,2.109737321,3.410315487,2,3.860528003,4.5556373,8.860248191,0,0,0,0
PA14_01810,PA14 ref,165998..166960,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4383547,6,19.11715579,22.04198002,26.85329909,9,27.53160015,31.4295344,38.77687045,9,22.78011898,25.28737721,31.23076826,8,20.78984552,22.84978478,29.19691053,2,5.163206945,5.73812047,7.288989789,4,9.053331059,9.802036494,13.43227041,2,4.414260175,4.794312193,5.781175954,5,10.88480833,11.95345115,15.57873215,2,4.364252869,4.775350909,6.270717224,4,8.937598623,9.767972873,12.6339903,8,17.26132012,19.24395911,27.2825239,5,11.00430879,12.98569511,22.15062048,3,6.612732296,7.545017319,11.61087921
PA14_01830,PA14 ref,167065..168015,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4383548,7,22.58477869,26.04013097,31.32884894,11,34.07433583,38.89859305,47.39395277,14,35.88287932,39.83227241,48.58119507,21,55.26196714,60.73753912,76.64189013,16,41.82686257,46.48420621,58.31191831,12,27.50270603,29.77716449,40.29681124,9,20.11482278,21.84663711,26.01529179,11,24.24874334,26.62942334,34.27321072,17,37.5642396,41.10266547,53.3010964,13,29.41372165,32.14649117,41.06046847,18,39.32803929,43.84526647,61.38567877,8,17.82906308,21.03928393,35.44099277,8,17.85646324,20.37392689,30.96234456
PA14_01840,PA14 ref,168212..168757,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4383549,2,11.23920698,12.9587465,8.951099697,0,0,0,0,0,0,0,0,1,4.583475559,5.037624255,3.649613816,2,9.106535326,10.12053116,7.288989789,5,19.95961037,21.61025903,16.79033802,5,19.46397687,21.13975569,14.45293988,4,15.35834494,16.86618821,12.46298572,5,19.24347762,21.05614892,15.67679306,2,7.881783401,8.614063989,6.316995149,2,7.611104062,8.485317137,6.820630974,2,7.76347939,9.161336547,8.860248191,0,0,0,0
PA14_01860,PA14 ref,168754..169749,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4383550,0,0,0,0,3,8.873136193,10.12939814,12.92562348,1,2.447261778,2.716615825,3.470085362,2,5.025256335,5.5231784,7.299227631,4,9.984273671,11.09600404,14.57797958,1,2.188342824,2.369317556,3.358067603,9,19.20602055,20.85959025,26.01529179,3,6.314500252,6.93444184,9.347239288,2,4.21965413,4.617131451,6.270717224,4,8.641473367,9.444335217,12.6339903,0,0,0,0,3,6.38382492,7.533267703,13.29037229,1,2.131211915,2.431677269,3.87029307
PA14_01870,PA14 ref,169897..172284,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4383551,2,2.569768429,2.962929475,8.951099697,0,0,0,0,1,1.020717224,1.133060872,3.470085362,6,6.287883555,6.910911666,21.89768289,0,0,0,0,5,4.563629507,4.941039125,16.79033802,12,10.68073505,11.60030815,34.68705572,4,3.51158138,3.856339516,12.46298572,10,8.799781225,9.628691217,31.35358612,6,5.406348916,5.908641882,18.95098545,4,3.480454621,3.880220399,13.64126195,2,1.775066896,2.094677452,8.860248191,8,7.111179454,8.113737218,30.96234456
pcaQ,PA14 ref,172662..173489,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4383552,4,14.82272224,17.09052074,17.90219939,7,24.90479289,28.43082279,30.15978813,7,20.60665352,22.87469267,24.29059753,3,9.067310344,9.965734939,10.94884145,4,12.01006833,13.34736718,14.57797958,6,15.79412647,17.10029193,20.14840562,2,5.133976508,5.575993529,5.781175954,8,20.25520854,22.24381344,24.92597143,8,20.30326335,22.21576292,25.08286889,6,15.59222368,17.04086572,18.95098545,7,17.56620756,19.583866,23.87220841,7,17.9178854,21.14409921,31.01086867,6,15.38179034,17.55036637,23.22175842
pcaH,PA14 ref,173624..174343,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4383553,2,8.52306529,9.827049427,8.951099697,2,8.183003378,9.341556059,8.617082322,1,3.385378793,3.757985225,3.470085362,3,10.4274069,11.46059518,10.94884145,4,13.81157858,15.34947226,14.57797958,4,12.10883029,13.11022381,13.43227041,3,8.856109476,9.618588838,8.671763931,5,14.55843114,15.98774091,15.57873215,3,8.755782319,9.580547761,9.406075835,1,2.988509539,3.266165929,3.158497574,5,14.42938478,16.08674707,17.05157743,3,8.830957806,10.42102032,13.29037229,0,0,0,0
pcaG,PA14 ref,174354..174959,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4383554,4,20.25282841,23.35140458,17.90219939,3,14.58357038,16.64831773,12.92562348,3,12.06669669,13.39479882,10.41025609,5,20.64833049,22.69424788,18.24806908,1,4.102449083,4.559249186,3.644494895,7,25.17677585,27.25888119,23.50647322,2,7.014740179,7.618684228,5.781175954,10,34.59429181,37.99067147,31.15746429,4,13.87054625,15.17710536,12.54143445,3,10.65211321,11.64177955,9.475492723,1,3.428764701,3.822593364,3.410315487,1,3.497409032,4.127136762,4.430124096,2,7.005567878,7.99323617,7.740586139
